date,tweet_body
2022-12-12 01:44:37+00:00,"b'RT @OpIndia_com: Twitter Files 4.0: Former Safety Head Yoel Roth flouted all rules to ban Donald Trump, despite being alarmed by junior emp\xe2\x80\xa6'"
2022-12-12 01:44:37+00:00,"b'Joe Biden: ""I gotta admit - America was better off with Donald Trump in the White House. My wife agrees.""'"
2022-12-12 01:44:36+00:00,"b'RT @GustavoBolivar: Si por la izquierda llueve, por la derecha no escampa. Empresas familiares de Donald Trump culpables de  fraude y evasi\xe2\x80\xa6'"
2022-12-12 01:44:35+00:00,"b'RT @ErrolWebber: @ShellenbergerMD Twitter executives built a case for permanently banning President Donald Trump, but sat back and did noth\xe2\x80\xa6'"
2022-12-12 01:44:35+00:00,"b'RT @ShellenbergerMD: 1. TWITTER FILES, PART 4\n\nThe Removal of Donald Trump: January 7\n\nAs the pressure builds, Twitter executives build the\xe2\x80\xa6'"
2022-12-12 01:44:34+00:00,b'RT @JamesBradleyCA: The violence and damage that was done in the name of George Floyd is far worse than anything that was allegedly done in\xe2\x80\xa6'
2022-12-12 01:44:34+00:00,"b""RT @tribelaw: \xe2\x80\x9cMitt Romney is the first Republican senator to say he won't support Donald Trump in 2024, even if the former president is th\xe2\x80\xa6"""
2022-12-12 01:44:31+00:00,"b'RT @ShellenbergerMD: 1. TWITTER FILES, PART 4\n\nThe Removal of Donald Trump: January 7\n\nAs the pressure builds, Twitter executives build the\xe2\x80\xa6'"
2022-12-12 01:44:31+00:00,"b'RT @itsJeffTiedrich: holy fucking shit, ""Donald Trump got banned from twitter after trying to overthrow his own government"" is not the expl\xe2\x80\xa6'"
2022-12-12 01:44:30+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:44:30+00:00,"b""RT @gtconway3d: This has it absolutely right.  January 7, 2021 was exactly the day the woke left mob got out of bed and decided, hey, let's\xe2\x80\xa6"""
2022-12-12 01:44:30+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:44:28+00:00,"b""RT @tribelaw: \xe2\x80\x9cMitt Romney is the first Republican senator to say he won't support Donald Trump in 2024, even if the former president is th\xe2\x80\xa6"""
2022-12-12 01:44:26+00:00,b'RT @bud_cann: Joe Biden is studying Donald Trump\xe2\x80\x99s book \xe2\x80\x98Art Of The Deal\xe2\x80\x99 after he got severely ripped off in the Brittney Griner deal! htt\xe2\x80\xa6'
2022-12-12 01:44:26+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:44:24+00:00,"b'RT @ShellenbergerMD: 1. TWITTER FILES, PART 4\n\nThe Removal of Donald Trump: January 7\n\nAs the pressure builds, Twitter executives build the\xe2\x80\xa6'"
2022-12-12 01:44:24+00:00,"b'RT @larryelder: If Donald Trump, Adolph Hitler and Mao Tse Tung were walking down the street\xe2\x80\x94and you gave a typical American lefty a gun wi\xe2\x80\xa6'"
2022-12-12 01:44:23+00:00,b'RT @JamesBradleyCA: The violence and damage that was done in the name of George Floyd is far worse than anything that was allegedly done in\xe2\x80\xa6'
